所属模块,用例标题,前置条件,步骤,预期,优先级,用例类型
售后管理,验证添加按钮能点击的正确性,进入crm系统,"1.打开项目文件夹启动Tomcat
2.打开浏览器输入localhost:8083
3.输入验证码登录
4.点击售后管理-保修管理",正常点击,3,功能测试
售后管理,验证点击添加按钮输入信息后是否能保存,进入crm系统,"1.打开项目文件夹启动Tomcat
2.打开浏览器输入localhost:8083
3.输入验证码登录
4.点击售后管理-添加按钮-输入相关信息-点击保存",保存成功,3,功能测试
售后管理,验证点击添加按钮输入信息后是否能点击取消,进入crm系统,"1.打开项目文件夹启动Tomcat
2.打开浏览器输入localhost:8083
3.输入验证码登录
4.点击售后管理-添加按钮-输入相关信息-点击取消",取消成功,3,功能测试
售后管理,验证编辑按钮能正常点击的正确性,进入crm系统,"1.打开项目文件夹启动Tomcat
2.打开浏览器输入localhost:8083
3.输入验证码登录
4.点击售后管理-编辑按钮",正常点击,3,功能测试
售后管理,验证删除按钮能正常点击的正确性,进入crm系统,"1.打开项目文件夹启动Tomcat
2.打开浏览器输入localhost:8083
3.输入验证码登录
4.点击售后管理-删除按钮",正常点击,3,功能测试
售后管理,验证刷新按钮能正常点击的正确性,进入crm系统,"1.打开项目文件夹启动Tomcat
2.打开浏览器输入localhost:8083
3.输入验证码登录
4.点击售后管理-刷新按钮",正常点击,3,功能测试
售后管理,验证添加不输入必填项是否能保存成功,进入crm系统,"1.打开项目文件夹启动Tomcat
2.打开浏览器输入localhost:8083
3.输入验证码登录
4.点击售后管理-保修管理-添加按钮-除必填项外都填写-点击保存",提示请输入必填项,3,功能测试
售后管理,验证添加保修中的下拉框是否能正常选择,进入crm系统,"1.打开项目文件夹启动Tomcat
2.打开浏览器输入localhost:8083
3.输入验证码登录
4.点击售后管理-保修管理-添加按钮-点击下拉框",正常下拉选择,3,功能测试
售后管理,验证编辑中不填写必填项能否保存成功,进入crm系统,"1.打开项目文件夹启动Tomcat
2.打开浏览器输入localhost:8083
3.输入验证码登录
4.点击售后管理-保修管理-编辑按钮-除必填项外都填写-点击保存",提示请输入必填项,3,功能测试
售后管理,验证点击删除按钮后是否有提示信息,进入crm系统,"1.打开项目文件夹启动Tomcat
2.打开浏览器输入localhost:8083
3.输入验证码登录
4.点击售后管理-保修管理-选择任意一行-点击删除",提示您确认删除该行数据吗？,3,功能测试
售后管理,验证添加保修单保修时间为空格,进入crm系统,"1.打开项目文件夹启动Tomcat
2.打开浏览器输入localhost:8083
3.输入验证码登录
4.点击售后管理-保修管理-选择任意一行-点击删除",提示您确认删除该行数据吗？,3,功能测试
售后管理,验证保修单新增明细保修时间为空格,进入crm系统,"1.打开项目文件夹启动Tomcat
2.打开浏览器输入localhost:8083
3.输入验证码登录
4.点击售后管理-保修管理-选择任意一行-点击删除",提示您确认删除该行数据吗？,3,功能测试
售后管理,验证保修单新增明细是否保修为空格,进入crm系统,"1.打开项目文件夹启动Tomcat
2.打开浏览器输入localhost:8083
3.输入验证码登录
4.点击售后管理-保修管理-选择任意一行-点击删除",提示您确认删除该行数据吗？,3,功能测试
