所属模块,用例标题,前置条件,步骤,预期,优先级,用例类型
客户管理,验证添加按钮能点击的正确性,进入crm系统,"1.打开项目文件夹启动Tomcat
2.打开浏览器输入localhost:8083
3.输入验证码登录
4.点击客户管理-客户信息管理-添加按钮",正常点击,3,功能测试
客户管理,验证点击添加按钮输入信息后是否能保存,进入crm系统,"1.打开项目文件夹启动Tomcat
2.打开浏览器输入localhost:8083
3.输入验证码登录
4.点击客户管理-客户信息管理-添加按钮-输入相关信息-点击保存",保存成功,3,功能测试
客户管理,验证点击添加按钮输入信息后是否能点击取消,进入crm系统,"1.打开项目文件夹启动Tomcat
2.打开浏览器输入localhost:8083
3.输入验证码登录
4.点击客户管理-客户信息管理-添加按钮-输入相关信息-点击取消",取消成功,3,功能测试
客户管理,验证编辑按钮能正常点击的正确性,进入crm系统,"1.打开项目文件夹启动Tomcat
2.打开浏览器输入localhost:8083
3.输入验证码登录
4.点击客户管理-客户信息管理-添加按钮",正常点击,3,功能测试
客户管理,验证删除按钮能正常点击的正确性,进入crm系统,"1.打开项目文件夹启动Tomcat
2.打开浏览器输入localhost:8083
3.输入验证码登录
4.点击客户管理-客户信息管理-删除按钮",正常点击,3,功能测试
客户管理,验证刷新按钮能正常点击的正确性,进入crm系统,"1.打开项目文件夹启动Tomcat
2.打开浏览器输入localhost:8083
3.输入验证码登录
4.点击客户管理-客户信息管理-刷新按钮",正常点击,3,功能测试
客户管理,验证客户移交按钮能点击的正确性,进入crm系统,"1.打开项目文件夹启动Tomcat
2.打开浏览器输入localhost:8083
3.输入验证码登录
4.点击客户管理-客户信息管理-客户移交按钮",正常点击,3,功能测试
客户管理,验证放入资源池能点击的正确性,进入crm系统,"1.打开项目文件夹启动Tomcat
2.打开浏览器输入localhost:8083
3.输入验证码登录
4.点击客户管理-客户信息管理-放入资源池按钮",正常点击,3,功能测试
客户管理,验证升为正式客户按钮能点击的正确性,进入crm系统,"1.打开项目文件夹启动Tomcat
2.打开浏览器输入localhost:8083
3.输入验证码登录
4.点击客户管理-客户信息管理-升为正式客户按钮",正常点击,3,功能测试
客户管理,验证客户状态比例图能点击的正确性,进入crm系统,"1.打开项目文件夹启动Tomcat
2.打开浏览器输入localhost:8083
3.输入验证码登录
4.点击客户管理-客户信息管理-客户状态比例图按钮",正常点击,3,功能测试
客户管理,验证关键字输入框能否输入中文,进入crm系统,"1.打开项目文件夹启动Tomcat
2.打开浏览器输入localhost:8083
3.输入验证码登录
4.点击客户信息管理-关键字输入框处输入客户-点击查询",正常输入,3,功能测试
客户管理,验证高级查询按钮能点击的正确性,进入crm系统,"1.打开项目文件夹启动Tomcat
2.打开浏览器输入localhost:8083
3.输入验证码登录
4.点击客户信息管理-高级查询",正常点击,3,功能测试
客户管理,验证清空搜索按钮能点击的正确性,进入crm系统,"1.打开项目文件夹启动Tomcat
2.打开浏览器输入localhost:8083
3.输入验证码登录
4.点击客户信息管理-关键字输入框输入1-点击清空搜索",正常点击,3,功能测试
客户管理,验证添加客户信息不输入点击保存是否能添加成功,进入crm系统,"1.打开项目文件夹启动Tomcat
2.打开浏览器输入localhost:8083
3.输入验证码登录
4.点击客户信息管理-添加按钮-点击保存",提示信息不能为空,3,功能测试
客户管理,验证是否能把客户放进资源池,进入crm系统,"1.打开项目文件夹启动Tomcat
2.打开浏览器输入localhost:8083
3.输入验证码登录
4.点击客户信息管理-选择任意客户-点击放入资源池",成功放入资源池,3,功能测试
客户管理,验证是否能把潜在客户升为正式客户,进入crm系统,"1.打开项目文件夹启动Tomcat
2.打开浏览器输入localhost:8083
3.输入验证码登录
4.点击客户信息管理-选择任意一个潜在客户-点击升为正式客户",成功升级,3,功能测试
客户管理,验证客户状态比例图是否能显示,进入crm系统,"1.打开项目文件夹启动Tomcat
2.打开浏览器输入localhost:8083
3.输入验证码登录
4.点击客户信息管理-选择任意一个潜在客户-点击升为正式客户",成功升级,3,功能测试
客户管理,验证关键字输入框是否能输入中文,进入crm系统,"1.打开项目文件夹启动Tomcat
2.打开浏览器输入localhost:8083
3.输入验证码登录
4.点击客户信息管理-选择任意一个潜在客户-点击升为正式客户",成功升级,3,功能测试
